essay_id,human_rating,education,mean,std,min,max,range
N10026X,4.868101783,1.211358752,4.77,0.875109322616673,3.2,6.7,3.5
N10054B,6.922006082,0.079655412,7.068,0.8795731803504678,4.8,8.8,4.000000000000001
N10094K,5.130515633,0.079655412,5.186,0.9538343671728337,3.6,7.4,3.8000000000000003
N10134A,4.807307601,0.079655412,5.0360000000000005,0.9629376820915445,3.4,7.8,4.4
N10165H,5.858544569,0.079655412,6.096,1.066935340312694,3.9,9.8,5.9
N10192L,4.290974343,1.211358752,4.376,1.0340252237084482,1.1,6.5,5.4
N10221Y,5.543519855,0.079655412,5.696000000000001,0.7345580373286251,4.2,7.7,3.5
N10250D,5.5788289,0.079655412,5.854,0.9379112703344641,3.2,7.9,4.7
N10293Q,6.053910597,0.079655412,6.1160000000000005,1.0156650580797202,4.4,8.2,3.799999999999999
N10301X,5.673344379,0.079655412,5.736000000000001,1.0597958987176617,3.5,8.9,5.4
