essay_id,prompt_name,rating,timestamp
N10026X,ladder_standard,9.0,2025-05-23T16:58:31.713970
N10026X,status_rating,8.4,2025-05-23T16:58:31.714011
N10026X,economic_position,8.8,2025-05-23T16:58:31.714041
N10026X,social_rank,10.0,2025-05-23T16:58:31.714066
N10026X,life_success,8.3,2025-05-23T16:58:31.714091
N10026X,societal_position,8.4,2025-05-23T16:58:31.714117
N10026X,respect_level,10.0,2025-05-23T16:58:31.714143
N10026X,income_ladder,9.3,2025-05-23T16:58:31.714166
N10026X,opportunity_scale,8.0,2025-05-23T16:58:31.714188
N10026X,life_quality,9.1,2025-05-23T16:58:31.714211
N10026X,social_position,8.0,2025-05-23T16:58:31.714233
N10026X,prestige_rating,8.0,2025-05-23T16:58:31.714254
N10026X,wealth_class,8.8,2025-05-23T16:58:31.714275
N10026X,ladder_self,6.6,2025-05-23T16:58:31.714295
N10026X,financial_security,6.6,2025-05-23T16:58:31.714316
N10026X,power_position,7.9,2025-05-23T16:58:31.714337
N10026X,access_scale,7.4,2025-05-23T16:58:31.714357
N10026X,career_success,8.9,2025-05-23T16:58:31.714377
N10026X,community_status,7.5,2025-05-23T16:58:31.714397
N10026X,standard_of_living,7.0,2025-05-23T16:58:31.714417
N10026X,family_background,10.0,2025-05-23T16:58:31.714437
N10026X,fame_level,8.3,2025-05-23T16:58:31.714457
N10026X,life_chances,8.6,2025-05-23T16:58:31.714477
N10026X,comfort_level,7.0,2025-05-23T16:58:31.714497
N10026X,household_status,7.9,2025-05-23T16:58:31.714520
N10026X,future_prospects,8.6,2025-05-23T16:58:31.714541
N10026X,social_circle_status,7.3,2025-05-23T16:58:31.714561
N10026X,lifestyle_rating,8.9,2025-05-23T16:58:31.714581
N10026X,mobility_score,7.9,2025-05-23T16:58:31.714601
N10026X,material_possessions,8.2,2025-05-23T16:58:31.714621
N10026X,success_perception,7.9,2025-05-23T16:58:31.714641
N10026X,relative_status,10.0,2025-05-23T16:58:31.714661
N10026X,economic_comfort,8.0,2025-05-23T16:58:31.714681
N10026X,privilege_score,7.4,2025-05-23T16:58:31.714701
N10026X,elite_access,9.4,2025-05-23T16:58:31.714721
N10026X,public_image,7.2,2025-05-23T16:58:31.714740
N10026X,overall_life_score,8.8,2025-05-23T16:58:31.714760
N10026X,social_ladder_step,6.6,2025-05-23T16:58:31.714779
N10026X,top_percentile,7.1,2025-05-23T16:58:31.714799
N10026X,education_power,8.7,2025-05-23T16:58:31.714819
N10026X,access_privilege,9.3,2025-05-23T16:58:31.714838
N10026X,home_quality,8.7,2025-05-23T16:58:31.714867
N10026X,wardrobe_status,8.4,2025-05-23T16:58:31.714888
N10026X,financial_headroom,8.2,2025-05-23T16:58:31.714908
N10026X,career_options,6.9,2025-05-23T16:58:31.714928
N10026X,cultural_capital,7.7,2025-05-23T16:58:31.714948
N10026X,social_confidence,8.0,2025-05-23T16:58:31.714968
N10026X,family_status,9.7,2025-05-23T16:58:31.714992
N10026X,visibility_score,8.9,2025-05-23T16:58:31.715015
N10026X,peer_comparison,6.1,2025-05-23T16:58:31.715036
N10054B,ladder_standard,9.2,2025-05-23T16:58:31.715141
N10054B,status_rating,8.5,2025-05-23T16:58:31.715167
N10054B,economic_position,7.6,2025-05-23T16:58:31.715189
N10054B,social_rank,9.6,2025-05-23T16:58:31.715214
N10054B,life_success,10.0,2025-05-23T16:58:31.715236
N10054B,societal_position,9.8,2025-05-23T16:58:31.715260
N10054B,respect_level,8.0,2025-05-23T16:58:31.715282
N10054B,income_ladder,8.6,2025-05-23T16:58:31.715302
N10054B,opportunity_scale,9.3,2025-05-23T16:58:31.715323
N10054B,life_quality,10.0,2025-05-23T16:58:31.715344
N10054B,social_position,8.4,2025-05-23T16:58:31.715365
N10054B,prestige_rating,8.7,2025-05-23T16:58:31.715386
N10054B,wealth_class,7.7,2025-05-23T16:58:31.715407
N10054B,ladder_self,7.7,2025-05-23T16:58:31.715427
N10054B,financial_security,9.8,2025-05-23T16:58:31.715447
N10054B,power_position,10.0,2025-05-23T16:58:31.715468
N10054B,access_scale,8.8,2025-05-23T16:58:31.715489
N10054B,career_success,10.0,2025-05-23T16:58:31.715513
N10054B,community_status,9.3,2025-05-23T16:58:31.715535
N10054B,standard_of_living,8.2,2025-05-23T16:58:31.715556
N10054B,family_background,9.3,2025-05-23T16:58:31.715577
N10054B,fame_level,10.0,2025-05-23T16:58:31.715597
N10054B,life_chances,8.9,2025-05-23T16:58:31.715618
N10054B,comfort_level,10.0,2025-05-23T16:58:31.715638
N10054B,household_status,6.0,2025-05-23T16:58:31.715658
N10054B,future_prospects,9.8,2025-05-23T16:58:31.715678
N10054B,social_circle_status,9.0,2025-05-23T16:58:31.715699
N10054B,lifestyle_rating,8.6,2025-05-23T16:58:31.715719
N10054B,mobility_score,9.0,2025-05-23T16:58:31.715739
N10054B,material_possessions,6.7,2025-05-23T16:58:31.715759
N10054B,success_perception,8.7,2025-05-23T16:58:31.715779
N10054B,relative_status,9.3,2025-05-23T16:58:31.715800
N10054B,economic_comfort,10.0,2025-05-23T16:58:31.715825
N10054B,privilege_score,8.3,2025-05-23T16:58:31.715847
N10054B,elite_access,8.0,2025-05-23T16:58:31.715873
N10054B,public_image,8.4,2025-05-23T16:58:31.715893
N10054B,overall_life_score,9.9,2025-05-23T16:58:31.715913
N10054B,social_ladder_step,9.2,2025-05-23T16:58:31.715934
N10054B,top_percentile,8.3,2025-05-23T16:58:31.715955
N10054B,education_power,9.5,2025-05-23T16:58:31.715977
N10054B,access_privilege,9.0,2025-05-23T16:58:31.715998
N10054B,home_quality,10.0,2025-05-23T16:58:31.716022
N10054B,wardrobe_status,8.1,2025-05-23T16:58:31.716042
N10054B,financial_headroom,8.6,2025-05-23T16:58:31.716062
N10054B,career_options,8.5,2025-05-23T16:58:31.716082
N10054B,cultural_capital,7.3,2025-05-23T16:58:31.716102
N10054B,social_confidence,9.2,2025-05-23T16:58:31.716122
N10054B,family_status,9.2,2025-05-23T16:58:31.716142
N10054B,visibility_score,8.9,2025-05-23T16:58:31.716161
N10054B,peer_comparison,8.8,2025-05-23T16:58:31.716181
N10094K,ladder_standard,7.0,2025-05-23T16:58:31.716273
N10094K,status_rating,8.0,2025-05-23T16:58:31.716297
N10094K,economic_position,7.5,2025-05-23T16:58:31.716318
N10094K,social_rank,7.5,2025-05-23T16:58:31.716339
N10094K,life_success,8.2,2025-05-23T16:58:31.716360
N10094K,societal_position,8.8,2025-05-23T16:58:31.716381
N10094K,respect_level,10.0,2025-05-23T16:58:31.716404
N10094K,income_ladder,8.6,2025-05-23T16:58:31.716426
N10094K,opportunity_scale,8.7,2025-05-23T16:58:31.716446
N10094K,life_quality,8.3,2025-05-23T16:58:31.716467
N10094K,social_position,6.3,2025-05-23T16:58:31.716487
N10094K,prestige_rating,8.4,2025-05-23T16:58:31.716510
N10094K,wealth_class,8.5,2025-05-23T16:58:31.716530
N10094K,ladder_self,10.0,2025-05-23T16:58:31.716550
N10094K,financial_security,8.2,2025-05-23T16:58:31.716570
N10094K,power_position,8.8,2025-05-23T16:58:31.716590
N10094K,access_scale,8.4,2025-05-23T16:58:31.716610
N10094K,career_success,7.1,2025-05-23T16:58:31.716630
N10094K,community_status,9.7,2025-05-23T16:58:31.716650
N10094K,standard_of_living,9.3,2025-05-23T16:58:31.716670
N10094K,family_background,9.3,2025-05-23T16:58:31.716690
N10094K,fame_level,7.4,2025-05-23T16:58:31.716711
N10094K,life_chances,10.0,2025-05-23T16:58:31.716733
N10094K,comfort_level,6.9,2025-05-23T16:58:31.716754
N10094K,household_status,9.1,2025-05-23T16:58:31.716774
N10094K,future_prospects,10.0,2025-05-23T16:58:31.716794
N10094K,social_circle_status,7.3,2025-05-23T16:58:31.716814
N10094K,lifestyle_rating,7.8,2025-05-23T16:58:31.716834
N10094K,mobility_score,8.5,2025-05-23T16:58:31.716859
N10094K,material_possessions,7.9,2025-05-23T16:58:31.716882
N10094K,success_perception,6.7,2025-05-23T16:58:31.716902
N10094K,relative_status,8.5,2025-05-23T16:58:31.716922
N10094K,economic_comfort,6.7,2025-05-23T16:58:31.716942
N10094K,privilege_score,8.9,2025-05-23T16:58:31.716963
N10094K,elite_access,7.4,2025-05-23T16:58:31.716985
N10094K,public_image,10.0,2025-05-23T16:58:31.717006
N10094K,overall_life_score,7.6,2025-05-23T16:58:31.717026
N10094K,social_ladder_step,8.1,2025-05-23T16:58:31.717046
N10094K,top_percentile,9.3,2025-05-23T16:58:31.717066
N10094K,education_power,7.1,2025-05-23T16:58:31.717086
N10094K,access_privilege,8.7,2025-05-23T16:58:31.717106
N10094K,home_quality,9.9,2025-05-23T16:58:31.717126
N10094K,wardrobe_status,6.7,2025-05-23T16:58:31.717146
N10094K,financial_headroom,8.6,2025-05-23T16:58:31.717166
N10094K,career_options,8.7,2025-05-23T16:58:31.717185
N10094K,cultural_capital,9.3,2025-05-23T16:58:31.717205
N10094K,social_confidence,7.1,2025-05-23T16:58:31.717225
N10094K,family_status,7.0,2025-05-23T16:58:31.717245
N10094K,visibility_score,9.0,2025-05-23T16:58:31.717264
N10094K,peer_comparison,9.1,2025-05-23T16:58:31.717284
N10134A,ladder_standard,8.3,2025-05-23T16:58:31.717369
N10134A,status_rating,8.4,2025-05-23T16:58:31.717392
N10134A,economic_position,6.7,2025-05-23T16:58:31.717412
N10134A,social_rank,8.3,2025-05-23T16:58:31.717432
N10134A,life_success,8.4,2025-05-23T16:58:31.717452
N10134A,societal_position,7.6,2025-05-23T16:58:31.717472
N10134A,respect_level,10.0,2025-05-23T16:58:31.717492
N10134A,income_ladder,8.5,2025-05-23T16:58:31.717515
N10134A,opportunity_scale,6.8,2025-05-23T16:58:31.717536
N10134A,life_quality,8.8,2025-05-23T16:58:31.717555
