essay_id,human_rating,education,prompt_name,llm_rating
N10026X,4.868101783,1.211358752,ladder_standard,5.3
N10026X,4.868101783,1.211358752,status_rating,4.9
N10026X,4.868101783,1.211358752,economic_position,5.2
N10026X,4.868101783,1.211358752,social_rank,6.4
N10026X,4.868101783,1.211358752,life_success,5.1
N10026X,4.868101783,1.211358752,societal_position,4.7
N10026X,4.868101783,1.211358752,respect_level,6.5
N10026X,4.868101783,1.211358752,income_ladder,5.5
N10026X,4.868101783,1.211358752,opportunity_scale,4.5
N10026X,4.868101783,1.211358752,life_quality,5.5
N10026X,4.868101783,1.211358752,social_position,4.5
N10026X,4.868101783,1.211358752,prestige_rating,4.5
N10026X,4.868101783,1.211358752,wealth_class,5.2
N10026X,4.868101783,1.211358752,ladder_self,3.3
N10026X,4.868101783,1.211358752,financial_security,3.2
N10026X,4.868101783,1.211358752,power_position,4.4
N10026X,4.868101783,1.211358752,access_scale,4.0
N10026X,4.868101783,1.211358752,career_success,5.8
N10026X,4.868101783,1.211358752,community_status,4.3
N10026X,4.868101783,1.211358752,standard_of_living,3.6
N10026X,4.868101783,1.211358752,family_background,6.4
N10026X,4.868101783,1.211358752,fame_level,4.7
N10026X,4.868101783,1.211358752,life_chances,5.0
N10026X,4.868101783,1.211358752,comfort_level,3.5
N10026X,4.868101783,1.211358752,household_status,4.6
N10026X,4.868101783,1.211358752,future_prospects,5.1
N10026X,4.868101783,1.211358752,social_circle_status,4.0
N10026X,4.868101783,1.211358752,lifestyle_rating,5.3
N10026X,4.868101783,1.211358752,mobility_score,4.4
N10026X,4.868101783,1.211358752,material_possessions,4.7
N10026X,4.868101783,1.211358752,success_perception,4.6
N10026X,4.868101783,1.211358752,relative_status,6.7
N10026X,4.868101783,1.211358752,economic_comfort,4.6
N10026X,4.868101783,1.211358752,privilege_score,3.9
N10026X,4.868101783,1.211358752,elite_access,5.8
N10026X,4.868101783,1.211358752,public_image,3.7
N10026X,4.868101783,1.211358752,overall_life_score,5.2
N10026X,4.868101783,1.211358752,social_ladder_step,3.3
N10026X,4.868101783,1.211358752,top_percentile,3.6
N10026X,4.868101783,1.211358752,education_power,5.2
N10026X,4.868101783,1.211358752,access_privilege,5.7
